"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Ambulatory Edifice","one","Near Mint","English","foil","","2026-01-03 10:29:11.643000","79","True","True","1.00"
"1","1","Annihilating Glare","one","Near Mint","English","","","2023-03-06 21:43:19.817000","80","False","False",""
"1","1","Anoint with Affliction","one","Near Mint","English","","","2023-03-06 21:43:19.817000","81","False","False",""
"1","1","Bonepicker Skirge","one","Near Mint","English","","","2023-03-06 21:43:19.817000","86","False","False",""
"1","1","Chittering Skitterling","one","Near Mint","English","","","2023-03-06 21:43:19.817000","87","False","False",""
"1","1","Cruel Grimnarch","one","Near Mint","English","","","2023-03-06 21:43:19.817000","88","False","False",""
"2","2","Cutthroat Centurion","one","Near Mint","English","","","2023-03-06 21:43:19.817000","89","False","False",""
"1","1","Drown in Ichor","one","Near Mint","English","","","2023-03-06 21:43:19.817000","91","False","False",""
"1","1","Feed the Infection","one","Near Mint","English","","","2023-03-06 21:43:19.817000","93","False","False",""
"1","1","Fleshless Gladiator","one","Near Mint","English","","","2023-03-06 21:43:19.817000","94","False","False",""
"2","2","Gulping Scraptrap","one","Near Mint","English","","","2023-03-06 21:43:19.817000","96","False","False",""
"1","1","Infectious Inquiry","one","Near Mint","English","","","2023-03-06 21:43:19.817000","97","False","False",""
"1","1","Offer Immortality","one","Near Mint","English","","","2023-03-06 21:43:19.817000","102","False","False",""
"2","2","Pestilent Syphoner","one","Near Mint","English","","","2023-03-06 21:43:19.817000","103","False","False",""
"1","1","Rancor","a25","Near Mint","English","","","2023-03-04 16:05:22.227000","186","False","False",""
"1","1","Scheming Aspirant","one","Near Mint","English","","","2023-03-06 21:43:19.817000","107","False","False",""
"2","2","Testament Bearer","one","Near Mint","English","","","2023-03-06 21:43:19.817000","111","False","False",""
"1","1","Vat of Rebirth","one","Near Mint","English","","","2023-03-06 21:43:19.817000","113","False","False",""
